動画投稿者名,動画タイトル,動画URL,盛り上がったところURL,videoID
jun channel,ピクミン4 実況プレイ 3日目,https://www.youtube.com/watch?v=CDA885CwsGM,https://www.youtube.com/watch?v=CDA885CwsGM#t=328m00s,CDA885CwsGM
RIZIN FIGHTING FEDERATION,【公開計量】RIZIN.44,https://www.youtube.com/watch?v=RXSPQmH1Xn8,https://www.youtube.com/watch?v=RXSPQmH1Xn8#t=18m00s,RXSPQmH1Xn8
開封大好きよしひろ,【MTG】ラスベガス到着、ここまでの旅を振り返る配信【MAGICCON】,https://www.youtube.com/watch?v=W5gMzIuX-48,https://www.youtube.com/watch?v=W5gMzIuX-48#t=32m00s,W5gMzIuX-48
,,,,
Pekora Ch. 兎田ぺこら,アーマード・コア6】最後まで！エアルートいくぞ！！！！！！！！！！！！！ぺこ！【ホロライブ/兎田ぺこら】,https://www.youtube.com/watch?v=Lo5DegTKdWY,,Lo5DegTKdWY
Nito Ch. 新兎わい,ミラー配信】新作情報！！！わくわく！！バイオが気になる👀【#TGS2023カプコンオンラインプログラム】　#新兎わい,https://www.youtube.com/watch?v=OwZcP-N5h9k,https://www.youtube.com/watch?v=OwZcP-N5h9k#t=116m00s,OwZcP-N5h9k
ジャニーズJr.チャンネル,ジャニーズJr.チャンネル【緊急生配信】チャンネル登録者数200万人突破記念SP!!!!!!,https://www.youtube.com/watch?v=TSoPkuKVW4Y,,TSoPkuKVW4Y
